"instalacao","fase","superficie","operador","tipo","inicio","parada","removida","lamina_m","vida_projeto"
"ALWYN NORTH B","IN SERVICE","Y","","JACKET 8 LEGS","1987-11-01","","","126",""
"ARMADA","IN SERVICE","Y","","JACKET 4 LEGS","1997-10-01","","","110",""
"ASKELADD NORD (J)","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2022-12-12","","","340",""
"ASKELADD SØR (L)","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2022-12-12","","","340",""
"ASKELADD VEST (K)","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-09-19","","","233",""
"ASKJA A","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","99","25"
"ASKJA B","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","98","25"
"B-11","REMOVED","Y","Gassco AS","JACKET 8 LEGS","1977-09-17","","2015-06-01","33","20"
"BALDER FPU","IN SERVICE","Y","Vår Energi ASA","FPSO","1999-09-30","","","127","20"
"BALDER GASLIFT MANIFOLD","IN SERVICE","N","Vår Energi ASA","SUBSEA STRUCTURE","2016-06-30","","","127",""
"BALDER SDU A","IN SERVICE","N","Vår Energi ASA","SUBSEA STRUCTURE","2013-06-01","","","127",""
"BALDER SDU B","IN SERVICE","N","Vår Energi ASA","SUBSEA STRUCTURE","2013-11-18","","","127",""
"BALDER SDU D","IN SERVICE","N","Vår Energi ASA","SUBSEA STRUCTURE","2015-04-15","","","127",""
"BAUGE","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2023-04-06","","","282","25"
"BERLING","INSTALLATION","N","OMV (Norge) AS","MULTI WELL TEMPLATE","","","","365","25"
"BESTLA","INSTALLATION","N","OKEA ASA","MULTI WELL TEMPLATE","2021-01-01","","","120","25"
"BLAREGNIES","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"BOA","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2008-06-08","","","125","20"
"BRAE A","IN SERVICE","Y","Bridge Petroleum 3 Limited","JACKET 8 LEGS","1983-07-12","","","112",""
"BRAEFOOT BAY","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"BRAGE","IN SERVICE","Y","OKEA ASA","JACKET 8 LEGS","1993-09-23","","","136","20"
"BRAGE-T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","1993-09-23","","","136",""
"BRASSE WI Satellite","FUTURE","N","OKEA ASA","SINGLE WELL TEMPLATE","2021-01-01","","","120","25"
"BREIDABLIKK J","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2023-10-20","","","127","25"
"BREIDABLIKK K","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2023-10-20","","","127","25"
"BREIDABLIKK L","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2023-10-20","","","130","25"
"BREIDABLIKK M","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2023-10-20","","","129","25"
"BRYNHILD","REMOVED","N","","MULTI WELL TEMPLATE","2014-12-25","","2021-06-30","82","15"
"BYGGVE","SHUT DOWN","N","","SINGLE WELL TEMPLATE","2004-03-01","2012-04-01","","120","15"
"BYGNES","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"BØYLA","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2015-01-19","","","120","20"
"CATS","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"COD","REMOVED","Y","","JACKET 8 LEGS","1977-11-01","","2013-08-01","73","20"
"COD FL","REMOVED","Y","","JACKET TRIPOD","1977-11-01","","2007-07-30","78","20"
"COL DE LARRAU","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"CRUDEN BAY","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"DALMENY","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"DEN HELDER","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"DOMPAP S","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2014-04-01","","","343","20"
"DORNUM","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"DRAUGEN","IN SERVICE","Y","OKEA ASA","CONDEEP MONOSHAFT","1993-10-19","","","252","30"
"DRAUGEN B","IN SERVICE","N","OKEA ASA","MULTI WELL TEMPLATE","1993-10-19","","","263","20"
"DRAUGEN C","IN SERVICE","N","OKEA ASA","MULTI WELL TEMPLATE","1993-10-19","","","276","20"
"DRAUGEN D","IN SERVICE","N","OKEA ASA","SUBSEA STRUCTURE","2001-11-01","","","265","20"
"DRAUGEN FLP","REMOVED","Y","OKEA ASA","LOADING SYSTEM","1993-10-19","","2012-08-17","258","30"
"DRAUGEN FSL","IN SERVICE","N","OKEA ASA","LOADING SYSTEM","2012-10-15","","","258","25"
"DRAUGEN PLEM 105","IN SERVICE","N","OKEA ASA","SUBSEA STRUCTURE","1993-10-19","","","257","30"
"DRAUGEN PLEM-106","IN SERVICE","N","OKEA ASA","SUBSEA STRUCTURE","1993-10-19","","","256","30"
"DRAUGEN SSBP","IN SERVICE","N","OKEA ASA","SUBSEA STRUCTURE","2016-11-24","","","259",""
"DRAUGEN T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2000-10-10","","","345","50"
"DRAUPNER E","IN SERVICE","Y","","JACKET 4 LEGS","1995-08-13","","","69","50"
"DRAUPNER S","IN SERVICE","Y","Gassco AS","JACKET 4 LEGS","1985-07-01","","","70","30"
"DUNKERQUE","IN SERVICE","Y","Gassco AS","ONSHORE FACILITY","1998-07-01","","","0",""
"DUVA K","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2021-08-23","","","359","20"
"DVALIN","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2020-12-01","","","380","25"
"DVALIN GAS EXPORT RISER BASE","IN SERVICE","N","Harbour Energy Norge AS","SUBSEA STRUCTURE","2020-10-01","","","345","25"
