"instalacao","fase","superficie","operador","tipo","inicio","parada","removida","lamina_m","vida_projeto"
"NORNE D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1997-11-05","","","378","25"
"NORNE E","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1997-11-05","","","379","25"
"NORNE ERB","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2000-10-01","","","378","50"
"NORNE F","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-07-02","","","380","25"
"NORNE FPSO","IN SERVICE","Y","Equinor Energy AS","FPSO","1997-11-05","","","378","25"
"NORNE G","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2005-11-08","","","390","15"
"NORNE H","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2005-11-08","","","390","15"
"NORNE J","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2005-11-08","","","390","15"
"NORNE K","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2006-10-18","","","376",""
"NORNE M","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2010-05-01","","","375","20"
"NORNE/HEIDRUN T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2001-02-05","","","311","50"
"NORPIPE Y","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","1998-08-18","","","69","33"
"NOVA W","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2022-08-01","","","369","25"
"NOVA X","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2022-08-01","","","368","25"
"NYBRO","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"NYBRO TEE","INSTALLATION","N","Gassco AS","SUBSEA STRUCTURE","","","","40",""
"NYHAMNA","IN SERVICE","Y","Gassco AS","ONSHORE FACILITY","2007-09-13","","","0",""
"NYHAMNA RESERVEKRAFTVERK","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"OBERKAPPEL","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"ODA","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2019-03-16","","","66","20"
"ODIN","REMOVED","Y","Aker BP ASA","JACKET 4 LEGS","1984-04-01","","1997-02-13","103",""
"ORMEN LANGE A","IN SERVICE","N","A/S Norske Shell","MULTI WELL TEMPLATE","2007-09-13","","","850","50"
"ORMEN LANGE B","IN SERVICE","N","A/S Norske Shell","MULTI WELL TEMPLATE","2007-09-13","","","850","50"
"ORMEN LANGE C","IN SERVICE","N","A/S Norske Shell","MULTI WELL TEMPLATE","2012-11-15","","","925","50"
"ORMEN LANGE CMF","IN SERVICE","N","A/S Norske Shell","SUBSEA STRUCTURE","2025-06-27","","","850","25"
"ORMEN LANGE CS1","IN SERVICE","N","A/S Norske Shell","SUBSEA STRUCTURE","2025-06-27","","","850","25"
"ORMEN LANGE CS2","IN SERVICE","N","A/S Norske Shell","SUBSEA STRUCTURE","2025-06-27","","","850","25"
"ORMEN LANGE D","IN SERVICE","N","A/S Norske Shell","MULTI WELL TEMPLATE","2010-07-12","","","854","50"
"OSEBERG A","IN SERVICE","Y","Equinor Energy AS","CONDEEP 4 SHAFTS","1988-12-01","","","109","40"
"OSEBERG B","IN SERVICE","Y","Equinor Energy AS","JACKET 8 LEGS","1988-12-01","","","108","40"
"OSEBERG C","IN SERVICE","Y","Equinor Energy AS","JACKET 8 LEGS","1991-09-02","","","108","25"
"OSEBERG D","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","2000-10-01","","","109","30"
"OSEBERG DELTA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2008-06-27","","","101",""
"OSEBERG DELTA O","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2015-02-21","","","103","20"
"OSEBERG DELTA P","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2015-02-21","","","104","20"
"OSEBERG H","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","2018-10-14","","","107","25"
"OSEBERG SØR","IN SERVICE","Y","Equinor Energy AS","JACKET 6 LEGS","2000-08-30","","","101","30"
"OSEBERG SØR J","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2005-06-15","","","101","20"
"OSEBERG SØR K","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-08-30","","","106","20"
"OSEBERG VESTFLANKE","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2006-02-09","","","108","15"
"OSEBERG ØST","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","1999-05-03","","","157","20"
"OSEBERG-Y","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1991-09-01","","","110","20"
"OSELVAR","REMOVED","N","","MULTI WELL TEMPLATE","2012-04-14","","2022-07-01","72","20"
"PETROJARL 1","REMOVED","Y","Equinor Energy AS","FPSO","2001-08-29","","2013-05-01","110","15"
"PETROJARL KNARR","REMOVED","Y","","FPSO","2015-03-16","","2022-07-01","410","20"
"PETROJARL VARG","REMOVED","Y","Repsol Norge AS","FPSO","1998-12-22","","2016-07-30","84","15"
"RIND","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","110","25"
"RINGHORNE","IN SERVICE","Y","Vår Energi ASA","JACKET 4 LEGS","2003-02-10","","","129","25"
"ROGASS","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"ROGN SØR MANIFOLD","IN SERVICE","N","OKEA ASA","SUBSEA STRUCTURE","2013-12-01","","","293",""
"SAGE-T","IN SERVICE","N","","SUBSEA STRUCTURE","2009-06-08","","","120","20"
"SIGYN","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2002-12-22","","","70","20"
"SKARV A","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2012-12-31","","","324","25"
"SKARV B/C VEST","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2012-12-31","","","375","25"
"SKARV B/C ØST","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2012-12-31","","","375","25"
"SKARV ERB","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","2012-11-10","","","369","25"
"SKARV FPSO","IN SERVICE","Y","Aker BP ASA","FPSO","2012-12-31","","","368","25"
"SKINFAKS N","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2007-01-27","","","140","20"
"SKIRNE","SHUT DOWN","N","","SINGLE WELL TEMPLATE","2004-03-03","2021-04-01","","118","10"
"SKOGUL PLEM","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","2020-03-01","","","120","20"
"SLAGENTANGEN","SHUT DOWN","Y","","ONSHORE FACILITY","","2021-06-30","","0",""
"SLEIPNER A","IN SERVICE","Y","Equinor Energy AS","CONDEEP 4 SHAFTS","1993-10-01","","","83","50"
"SLEIPNER B","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","1997-04-01","","","108","30"
"SLEIPNER C","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1993-09-11","","","85","20"
"SLEIPNER D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1993-08-24","","","84","20"
"SLEIPNER FL","IN SERVICE","Y","Equinor Energy AS","JACKET TRIPOD","1993-09-01","","","83","50"
"SLEIPNER R","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","1993-10-01","","","83","50"
"SLEIPNER T","IN SERVICE","Y","Equinor Energy AS","JACKET 6 LEGS","1997-04-01","","","83","50"
"SMØRBUKK NORD","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2024-11-28","","","300","25"
"SNORRE A","IN SERVICE","Y","Equinor Energy AS","TLP STEEL","1992-08-03","","","335","30"
"SNORRE B","IN SERVICE","Y","Equinor Energy AS","SEMISUB STEEL","2001-06-27","","","350","20"
"SNORRE B SBV","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2001-06-27","","","350","25"
"SNORRE MDU","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2001-06-27","","","340","25"
"SNORRE SDU-1","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2001-06-27","","","340","25"
"SNORRE SDU-2","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2001-06-27","","","340","25"
"SNORRE SEP M","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2020-12-12","","","362","20"
"SNORRE SEP N","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2020-12-12","","","377","20"
"SNORRE SEP V","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2020-12-12","","","327","20"
"SNORRE SEP W","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2020-12-12","","","329","20"
"SNORRE SEP X","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2020-12-12","","","329","20"
"SNORRE SEP Z","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2020-12-12","","","338","20"
"SNORRE UPA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1992-08-03","","","335","20"
"SNURREVARDEN","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"SNØHVIT CDU-1","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2007-08-21","","","325",""
"SNØHVIT D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2007-08-21","","","337",""
"SNØHVIT E","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2007-08-21","","","336",""
"SNØHVIT F","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2008-04-22","","","318",""
"SNØHVIT G","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","316",""
"SNØHVIT N","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2007-08-21","","","325",""
"SNØHVIT PLEM-1","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2007-08-21","","","325",""
"SSP MANIFOLD","INSTALLATION","N","Aker BP ASA","SUBSEA STRUCTURE","","","","325","25"
"SSP SDU","INSTALLATION","N","Aker BP ASA","SUBSEA STRUCTURE","","","","324","25"
"ST.FERGUS","IN SERVICE","Y","","ONSHORE FACILITY","1978-08-20","","","0",""
"STATFJ-NORD SSIV","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-08-26","","","145","50"
"STATFJORD A","IN SERVICE","Y","Equinor Energy AS","CONDEEP 3 SHAFTS","1979-11-24","","","145","30"
"STATFJORD A-OLS","IN SERVICE","N","Equinor Energy AS","LOADING SYSTEM","1987-05-07","","","145",""
"STATFJORD B","IN SERVICE","Y","Equinor Energy AS","CONDEEP 4 SHAFTS","1982-11-05","","","145","30"
"STATFJORD B-OLS","IN SERVICE","N","Equinor Energy AS","LOADING SYSTEM","1990-08-01","","","146",""
"STATFJORD C","IN SERVICE","Y","Equinor Energy AS","CONDEEP 4 SHAFTS","1985-06-26","","","145","30"
"STATFJORD C-SPM","REMOVED","Y","Equinor Energy AS","LOADING SYSTEM","1984-07-01","","2012-07-15","145",""
"STATFJORD G","SHUT DOWN","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-08-26","2011-01-01","","157","20"
"STATFJORD H","SHUT DOWN","N","Equinor Energy AS","MULTI WELL TEMPLATE","","2000-01-01","","157","20"
"STATFJORD NORD D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1995-06-16","","","272","20"
"STATFJORD NORD E","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1995-01-23","","","265","20"
"STATFJORD NORD F","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1995-04-15","","","285","20"
"STATFJORD ØST K","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1995-01-29","","","156","20"
"STATFJORD ØST L","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1994-10-04","","","153","20"
"STATFJORD ØST M","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1994-09-23","","","195","20"
"STATFJORD-A-ALP","REMOVED","Y","Equinor Energy AS","LOADING SYSTEM","1979-11-24","","1986-01-01","145",""
"STATFJORD-B-SPM","REMOVED","Y","Equinor Energy AS","LOADING SYSTEM","1982-11-05","","1990-01-01","145",""
"STATPIPE HTT","FABRICATION","N","Gassco AS","SUBSEA STRUCTURE","","","","0","25"
"STAT-SSTC","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","1985-10-01","","","145","40"
"STJERNE","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2013-03-25","","","103","20"
"STRAUM TRAFOSTASJON","INSTALLATION","Y","","LANDFALL","","","","0",""
"STT-IN","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","1990-03-01","","","110","40"
"STURE","IN SERVICE","Y","Equinor Energy AS","ONSHORE FACILITY","1988-12-22","","","0",""
"SULLOM VOE","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"SVALIN C","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2014-09-06","","","125","25"
"SYGNA N","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-08-02","","","299","20"
"SYMRA","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2026-04-07","","","106","25"
"TAMBAR","IN SERVICE","Y","Aker BP ASA","JACKET TRIPOD","2001-07-16","","","70","15"
"TEESSIDE","IN SERVICE","Y","ConocoPhillips (U.K.) Limited.","ONSHORE FACILITY","1975-10-14","","","0",""
"TEESSIDE SSIV","IN SERVICE","N","ConocoPhillips Skandinavia AS","SUBSEA STRUCTURE","1998-08-18","","","76","33"
"TILJE","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2012-12-31","","","324","25"
"TJELDBERGODDEN","IN SERVICE","Y","Equinor Energy AS","ONSHORE FACILITY","1996-11-11","","","0",""
"TOGI","REMOVED","N","Equinor Energy AS","MULTI WELL TEMPLATE","1991-01-22","","2012-06-15","302","18"
"TOMMELITEN","REMOVED","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","1988-10-03","","2001-06-01","72",""
"TOMMELITEN 1/9 AB","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2023-10-13","","","74","25"
"TOMMELITEN 1/9 AA","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2023-10-13","","","74","25"
"TOR","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1978-08-01","","2024-07-01","70","20"
"TOR 2/4 YA","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2020-12-03","","","67","25"
"TOR 2/4 YB","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2020-12-03","","","68","25"
"TOR FL","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1977-08-01","","2024-07-01","70","20"
"TOR II Y","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2004-10-01","","","340","50"
"TORDIS EXTENSION","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1997-07-01","","","200","17"
"TORDIS SSIB","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2008-02-14","","","210","20"
"TORDIS ØST K","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-07-25","","","200","20"
"TORDIS-MS","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1994-06-03","","","200","12"
"TRESTAKK A","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2019-07-16","","","300","15"
"TRESTAKK B","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2019-07-16","","","297","15"
"TROLL A","IN SERVICE","Y","Equinor Energy AS","CONDEEP 4 SHAFTS","1996-05-15","","","302","70"
"TROLL B","IN SERVICE","Y","Equinor Energy AS","SEMISUB CONCRETE","1995-09-21","","","320","25"
"TROLL C","IN SERVICE","Y","Equinor Energy AS","SEMISUB STEEL","1999-11-01","","","339","25"
"TROLL D","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-09-25","","","338","27"
"TROLL E","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-09-19","","","331","27"
"TROLL ERB","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-09-21","","","324","27"
"TROLL ERS","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-04-11","","","324","27"
"TROLL F","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-09-23","","","330","27"
"TROLL G","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-09-21","","","327","27"
"TROLL H","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-12-31","","","317","27"
"TROLL I1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-04-14","","","315","25"
"TROLL I2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-04-14","","","315","25"
"TROLL J1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-03-17","","","315","25"
"TROLL J2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-03-17","","","315","25"
"TROLL K1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-07-24","","","320","25"
"TROLL K2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-07-24","","","320","25"
"TROLL L1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-11-14","","","327","25"
"TROLL L2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-11-14","","","333","25"
"TROLL M1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-07-15","","","344","25"
"TROLL M2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-07-15","","","346","25"
"TROLL N1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-01-06","","","345","25"
"TROLL N2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2001-12-01","","","345","25"
"TROLL O1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-11-23","","","355","25"
"TROLL O2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2010-07-20","","","338","25"
"TROLL P1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-11-07","","","336","25"
"TROLL P2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2002-06-01","","","336","25"
"TROLL PILOT","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-03","","","342","25"
"TROLL PRB","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1994-05-28","","","324","27"
"TROLL PRBN","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1998-04-01","","","324","25"
"TROLL PRBS","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-06-11","","","324","27"
"TROLL PRS","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-04-10","","","325","27"
"TROLL PTG","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-01","","","338",""
"TROLL PTO","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-01","","","338",""
"TROLL Q1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-10-31","","","335","25"
"TROLL R","FUTURE","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","341",""
"TROLL RB1","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-01","","","338",""
"TROLL RB2","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-01","","","338",""
"TROLL RB3","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-01","","","338",""
"TROLL RB4","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-01","","","338",""
"TROLL RSS1","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-01","","","338","25"
"TROLL RSS2","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1999-11-01","","","338","25"
"TROLL S1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-11-03","","","340","25"
"TROLL S2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-11-03","","","342","25"
"TROLL T1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2001-02-01","","","335","25"
"TROLL T2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2001-01-01","","","335","25"
"TROLL T3","FUTURE","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","335",""
"TROLL U1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-11-01","","","335","25"
"TROLL U2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1999-11-01","","","335","25"
"TROLL V1","FUTURE","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","335",""
"TROLL V2","FUTURE","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","335",""
"TROLL W1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2021-08-27","","","327","40"
"TROLL W2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2021-08-27","","","335","40"
"TROLL W3","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","335","40"
"TROLL W4","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","335","40"
"TRYM","IN SERVICE","N","DNO Norge AS","MULTI WELL TEMPLATE","2011-02-12","","","65","20"
"TUNE","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2002-11-28","","","100","20"
"TYRIHANS A","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2009-07-08","","","286","25"
"TYRIHANS B","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2009-07-08","","","273","25"
"TYRIHANS C","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2009-07-08","","","268","25"
"TYRIHANS D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2009-07-08","","","266","25"
"TYRIHANS W","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","282","25"
"UK-NL","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1985-10-01","","","44","30"
"ULA DP","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","1986-07-01","","","71","20"
"ULA PP","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","1986-10-01","","","71","20"
"ULA QP","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","1986-10-01","","","71","20"
"ULA-Y","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","1990-06-22","","","70","30"
"URD T","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2005-11-08","","","390","15"
"UTGARD","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2019-09-16","","","115","20"
"VALE","SHUT DOWN","N","Aker BP ASA","SINGLE WELL TEMPLATE","2002-05-31","2023-09-06","","114","12"
"VALEMON","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","2015-01-03","","","133","25"
"VALHALL BVS","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","1998-08-18","","","70","33"
"VALHALL DP","PARTLY REMOVED","Y","Aker BP ASA","JACKET 8 LEGS","1981-12-17","","","74","20"
"VALHALL FLANKE NORD","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","2004-01-07","","","69","30"
"VALHALL FLANKE SØR","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","2003-05-08","","","67","30"
"VALHALL FLANKE VEST","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","2019-12-16","","","69","25"
"VALHALL IP","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","2004-01-24","","","74","30"
"VALHALL PCP","REMOVED","Y","Aker BP ASA","JACKET 8 LEGS","1982-06-01","","2025-06-15","74","20"
"VALHALL PH","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","2013-01-26","","","74","40"
"VALHALL PWP","INSTALLATION","Y","Aker BP ASA","JACKET 8 LEGS","","","","76","30"
"VALHALL Q","REMOVED","Y","Aker BP ASA","JACKET 4 LEGS","1981-07-01","","2021-09-01","74","20"
"VALHALL SSPR","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","1998-08-18","","","70","33"
"VALHALL VTS","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","1998-08-18","","","70","33"
"VALHALL WP","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","1996-06-01","","","74","33"
"VARG A","REMOVED","Y","Repsol Norge AS","MONOTOWER","1998-12-22","","2018-07-01","84","15"
"VEGA NORD","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2010-12-02","","","377","20"
"VEGA SENTRAL","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2010-12-02","","","378","20"
"VEGA SØR","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2010-12-02","","","368","30"
"VERDANDE","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-12-02","","","373","25"
"VESLEFRIKK A","PARTLY REMOVED","Y","Equinor Energy AS","JACKET 4 LEGS","1989-12-26","","","174","20"
"VESLEFRIKK B","REMOVED","Y","Equinor Energy AS","SEMISUB STEEL","1989-12-26","","2022-07-01","176","26"
"VESLEFRIKK T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","1991-09-01","","","110","40"
"VEST EKOFISK","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1974-01-01","","2012-07-30","75","20"
"VESTERLED T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2001-10-01","","","100","50"
"VESTPROSESS","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"VIGDIS B","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1997-03-05","","","292","15"
"VIGDIS BOOSTER STATION","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2021-05-01","","","292",""
"VIGDIS C","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1997-03-05","","","283","15"
"VIGDIS D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2003-10-18","","","250",""
"VIGDIS E","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-01-01","","","290","15"
"VIGDIS F","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2003-10-18","","","220",""
"VIGDIS G","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2008-03-19","","","280",""
"VIGDIS H","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2013-03-11","","","291","25"
"VIGDIS NORDØST T","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2013-03-11","","","290","25"
"VIGDIS-Y","INSTALLATION","N","Equinor Energy AS","SUBSEA STRUCTURE","","","","140",""
