"complexo","num","estrutura","operador","tipo","estrutura_maior","contrato","contrato_status","instalada","idade_anos","lamina_m","lat","lon"
"23376","1","C","McMoRan Oil & Gas LLC","FIXED","Y","G07703","TERMIN","1990-01-01","36.6","140","28.599846","-91.880386"
"32037","1","E","McMoRan Oil & Gas LLC","FIXED","Y","G02062","TERMIN","1996-10-27","29.8","242","28.17172038","-92.99082483"
"26067","1","A","W & T Offshore, Inc.","FIXED","N","G09631","TERMIN","1994-01-01","32.6","285","28.19232372","-91.10260794"
"27017","1","JA","W & T Offshore, Inc.","FIXED","Y","G13607","TERMIN","1995-01-25","31.5","97","28.80942007","-92.05837548"
"1588","1","C","W & T Offshore, Inc.","CAIS","N","G24954","TERMIN","2004-10-22","21.8","70","28.93632816","-90.16560694"
"728","1","D (Lynx)","McMoRan Oil & Gas LLC","FIXED","N","G07703","TERMIN","2000-06-07","26.2","143","28.57765969","-91.88594128"
"408","1","A","W & T Offshore, Inc.","FIXED","Y","G13662","TERMIN","1999-08-15","27","300","29.2694096","-88.23751348"
"407","1","A","W & T Offshore, Inc.","FIXED","Y","G13672","TERMIN","1999-08-02","27","322","29.26908083","-88.19008"
"913","1","A","W & T Offshore, Inc.","CAIS","N","G15277","TERMIN","2002-01-01","24.6","28","28.94600287","-91.3209163"
"1263","1","16","W & T Offshore, Inc.","CAIS","N","G01848","TERMIN","2003-05-22","23.2","42","29.24039567","-93.79455531"
"1434","1","A","W & T Offshore, Inc.","FIXED","N","G24954","TERMIN","2004-01-25","22.5","68","28.93737697","-90.18116569"
"1490","1","B","W & T Offshore, Inc.","CAIS","N","G24954","TERMIN","2004-04-25","22.3","68","28.93860297","-90.17367087"
"1490","3","B PROD","W & T Offshore, Inc.","FIXED","Y","G24954","TERMIN","2006-09-23","19.9","68","28.93815376","-90.17356362"
"1490","4","B-AUX","W & T Offshore, Inc.","CAIS","N","G24954","TERMIN","2007-07-01","19.1","68","28.93848346","-90.17383792"
"1713","1","A","W & T Offshore, Inc.","CAIS","N","G24898","TERMIN","2005-04-23","21.3","33","28.93339443","-91.36006838"
"1755","1","E","W & T Offshore, Inc.","CAIS","N","G24954","TERMIN","2006-07-30","20","69","28.92978134","-90.15929363"
"20714","1","B","J. M. Huber Corporation","FIXED","Y","00165","RELINQ","1964-01-01","62.6","50","28.99628","-90.234397"
"20717","1","D","J. M. Huber Corporation","FIXED","Y","G27147","RELINQ","1966-01-01","60.6","50","28.986497","-90.202128"
"20717","2","E","J. M. Huber Corporation","FIXED","Y","G27147","RELINQ","1983-01-01","43.6","50","28.986642","-90.201344"
"20961","1","1","J. M. Huber Corporation","CAIS","N","G01362","RELINQ","1964-01-01","62.6","50","28.988586","-90.251558"
"20966","1","G","J. M. Huber Corporation","FIXED","Y","00263","RELINQ","1956-01-01","70.6","46","28.995238","-90.25108"
"20967","1","109","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1970-01-01","56.6","47","29.001539","-90.252551"
"20968","1","101","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1967-01-01","59.6","50","28.991875","-90.250184"
"20969","1","100","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1967-01-01","59.6","46","28.998011","-90.258179"
"20972","1","92","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1966-01-01","60.6","50","28.999078","-90.257517"
"20977","1","81","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1965-01-01","61.6","48","28.991752","-90.242635"
"20978","1","80","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1965-01-01","61.6","42","29.022674","-90.257612"
"20978","2","DB","J. M. Huber Corporation","CAIS","N","00263","RELINQ","2006-01-21","20.6","42","29.02255061","-90.25765724"
"20990","1","15","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1959-01-01","67.6","40","29.013558","-90.258948"
"20993","1","WG#6 & 115","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1958-01-01","68.6","37","29.016967","-90.265563"
"21070","1","116","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1963-01-01","63.6","46","28.9966","-90.260227"
"23051","1","A","Taylor Energy Company LLC","FIXED","Y","G04935","RELINQ","1984-01-01","42.6","475","28.938022","-88.970963"
"1837","1","F","W & T Offshore, Inc.","CAIS","N","G24954","TERMIN","2006-04-11","20.3","71","28.93404087","-90.15987546"
"2180","1","B","W & T Offshore, Inc.","CAIS","N","G24898","TERMIN","2008-09-17","17.9","40","28.94884027","-91.34155845"
"2374","1","B-Newfield","W & T Offshore, Inc.","FIXED","Y","G01082","TERMIN","2010-05-13","16.2","156","28.95651957","-89.75198128"
"21090","1","87","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1965-01-01","61.6","48","29.000851","-90.241964"
"21090","2","GE","J. M. Huber Corporation","CAIS","N","00263","RELINQ","2007-12-23","18.6","48","29.00089627","-90.24205773"
"21098","1","H","J. M. Huber Corporation","FIXED","Y","00263","RELINQ","1956-01-01","70.6","36","29.0194959","-90.27587943"
"21098","2","D","J. M. Huber Corporation","FIXED","Y","00263","RELINQ","1956-01-01","70.6","36","29.019496","-90.275879"
"21100","1","48","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1962-01-01","64.6","50","28.999592","-90.25789"
"21108","1","F","J. M. Huber Corporation","FIXED","Y","G01362","RELINQ","1964-01-01","62.6","49","28.986569","-90.250391"
"21108","2","PRD","J. M. Huber Corporation","FIXED","Y","G01362","RELINQ","1964-01-01","62.6","49","28.98780936","-90.25069085"
"21161","1","88","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1966-01-01","60.6","46","28.994901","-90.242038"
"21935","1","DA","J. M. Huber Corporation","CAIS","N","00263","RELINQ","1966-01-01","60.6","42","29.01654003","-90.27830687"
"21935","2","DA-Aux","J. M. Huber Corporation","CAIS","N","00263","RELINQ","2005-04-18","21.3","42","29.01644342","-90.27827659"
"22966","1","F","J. M. Huber Corporation","FIXED","Y","00165","RELINQ","1984-01-01","42.6","50","28.996691","-90.238703"
"23801","1","124","J. M. Huber Corporation","FIXED","N","00263","RELINQ","1989-01-01","37.6","40","29.021826","-90.271312"
"1911","1","GC","J. M. Huber Corporation","CAIS","N","00263","RELINQ","1965-01-01","61.6","55","28.99462809","-90.24722392"
"10285","1","A","Noble Energy, Inc.","FIXED","Y","G04081","RELINQ","1985-01-01","41.6","276","28.006372","-94.102363"
"24085","1","A","Noble Energy, Inc.","FIXED","Y","G09478","TERMIN","1994-07-26","32","250","28.164072","-92.862457"
"27028","1","A","Noble Energy, Inc.","FIXED","Y","G09514","TERMIN","1995-08-26","31","219","28.2648941","-92.20941753"
"23872","1","B","Freeport-McMoRan Energy LLC","FIXED","Y","G12362","TERMIN","1991-01-01","35.6","209","29.268639","-88.75596"
"23873","1","BW-CONTROL","Freeport-McMoRan Energy LLC","FIXED","Y","G09372","TERMIN","1991-01-01","35.6","209","29.27927","-88.75804"
"23874","1","PRD1RIG","Freeport-McMoRan Energy LLC","FIXED","N","G09372","TERMIN","1991-01-01","35.6","210","29.265656","-88.758138"
"23874","2","PRD2RIG","Freeport-McMoRan Energy LLC","FIXED","N","G09372","TERMIN","1991-01-01","35.6","210","29.267543","-88.763203"
"23874","4","STR","Freeport-McMoRan Energy LLC","FIXED","N","G09372","TERMIN","1991-01-01","35.6","210","29.26073","-88.77481"
"23876","1","FP","Freeport-McMoRan Energy LLC","FIXED","Y","G12362","TERMIN","1991-01-01","35.6","209","29.264714","-88.772089"
"23896","1","A","Freeport-McMoRan Energy LLC","FIXED","Y","G12362","TERMIN","1991-01-01","35.6","212","29.263202","-88.759226"
"24248","2","BS","Freeport-McMoRan Energy LLC","FIXED","N","G09372","TERMIN","1992-01-01","34.6","212","29.262356","-88.767815"
"24248","7","BS-Y","Freeport-McMoRan Energy LLC","FIXED","N","G09372","TERMIN","1991-01-01","35.6","212","29.26651","-88.760735"
"24248","8","BS","Freeport-McMoRan Energy LLC","FIXED","N","G09372","TERMIN","1991-01-01","35.6","212","29.267495","-88.761852"
"24248","9","BS","Freeport-McMoRan Energy LLC","FIXED","N","G09372","TERMIN","1991-01-01","35.6","212","29.265649","-88.75949"
"1288","1","A (Gunnison)","Anadarko Petroleum Corporation","SPAR","Y","G17407","TERMIN","2003-12-09","22.7","3150","27.30383941","-93.53830635"
"21654","2","E-AUX","Ridgelake Energy, Inc.","FIXED","Y","00420","TERMIN","1956-01-01","70.6","54","28.697428","-91.193065"
"21654","1","E","Ridgelake Energy, Inc.","FIXED","Y","00420","TERMIN","1956-01-01","70.6","54","28.69742808","-91.1927535"
"20055","1","B","Exxon Mobil Corporation","FIXED","N","00020","RELINQ","1956-01-01","70.6","65","28.813497","-90.39431"
"20056","1","H","Exxon Mobil Corporation","FIXED","N","00020","RELINQ","1967-01-01","59.6","66","28.798935","-90.414521"
"20082","1","J","Exxon Mobil Corporation","FIXED","Y","00034","RELINQ","1955-01-01","71.6","53","29.100774","-89.99444"
"20084","1","T","Exxon Mobil Corporation","FIXED","Y","00034","RELINQ","1962-01-01","64.6","48","29.110924","-90.023942"
"20085","1","Q","Exxon Mobil Corporation","FIXED","Y","00031","RELINQ","1961-01-01","65.6","55","29.094551","-89.989758"
"20087","1","P","Exxon Mobil Corporation","FIXED","Y","00031","RELINQ","1957-01-01","69.6","55","29.10864021","-89.96921566"
"20088","1","R","Exxon Mobil Corporation","FIXED","Y","00031","RELINQ","1962-01-01","64.6","55","29.122691","-89.966184"
"20089","1","W","Exxon Mobil Corporation","FIXED","Y","G01445","RELINQ","1966-01-01","60.6","65","29.094778","-89.942114"
"21655","1","J","Ridgelake Energy, Inc.","FIXED","N","00420","TERMIN","1966-01-01","60.6","62","28.689342","-91.203189"
"23972","1","B","Ridgelake Energy, Inc.","FIXED","N","00419","TERMIN","1992-01-01","34.6","51","28.72320393","-91.24154011"
"196","1","C","Ridgelake Energy, Inc.","FIXED","Y","00419","TERMIN","1998-05-10","28.3","51","28.73911778","-91.253181"
"2091","1","A","Ridgelake Energy, Inc.","FIXED","N","G24881","TERMIN","2007-10-12","18.8","27","29.21522613","-92.01013652"
"20203","1","E","Exxon Mobil Corporation","FIXED","N","00421","RELINQ","1958-01-01","68.6","65","28.855683","-90.37717"
"20486","1","U","Exxon Mobil Corporation","FIXED","Y","00031","RELINQ","1963-01-01","63.6","60","29.096877","-89.964525"
"22172","1","A","Exxon Mobil Corporation","FIXED","Y","G01619","RELINQ","1978-01-01","48.6","446","28.66291441","-89.40816289"
"22663","1","B","Exxon Mobil Corporation","FIXED","Y","G01096","TERMIN","1982-01-01","44.6","200","28.83174","-89.780082"
"22695","1","G","Exxon Mobil Corporation","FIXED","Y","00019","RELINQ","1982-01-01","44.6","66","28.833484","-90.416705"
"22695","2","G-QTR","Exxon Mobil Corporation","FIXED","N","00019","RELINQ","1987-01-01","39.6","66","28.832922","-90.416214"
"23151","1","B","Exxon Mobil Corporation","FIXED","Y","G01619","RELINQ","1985-01-01","41.6","450","28.669635","-89.393492"
"23893","1","A (Alabaster)","Exxon Mobil Corporation","FIXED","Y","G04939","RELINQ","1991-10-03","34.9","476","28.546431","-89.929614"
"24030","1","A","Exxon Mobil Corporation","FIXED","Y","G06668","RELINQ","1992-05-25","34.2","95","28.902763","-92.488892"
"10170","1","A","Exxon Mobil Corporation","FIXED","Y","G03091","TERMIN","1981-01-01","45.6","69","28.06623645","-96.57157688"
"10228","1","B","Exxon Mobil Corporation","FIXED","Y","G04139","TERMIN","1982-01-01","44.6","72","28.041196","-96.586114"
"1600","1","B","Exxon Mobil Corporation","FIXED","N","G06668","RELINQ","2004-12-17","21.7","96","28.90966806","-92.52163538"
"183","1","A (Hoover)","Exxon Mobil Corporation","SPAR","Y","G10380","TERMIN","2000-04-25","26.3","4825","26.93905139","-94.68872137"
"1866","1","H","Anglo-Suisse Offshore Partners, LLC","FIXED","N","G01101","RELINQ","2006-06-20","20.1","199","28.81720753","-89.79848105"
"2222","1","A","Peregrine Oil & Gas, LP","FIXED","Y","G30654","TERMIN","2009-01-14","17.6","180","28.16048463","-94.73975396"
"10297","1","A","Walter Oil & Gas Corporation","FIXED","Y","G06280","RELINQ","1985-01-01","41.6","863","27.818735","-94.322836"
"2014","1","J","Walter Oil & Gas Corporation","CAIS","N","00422","RELINQ","2007-06-07","19.2","69","28.85270706","-90.39444191"
"20221","1","B","GOM Shelf LLC","FIXED","Y","G01106","TERMIN","1966-01-01","60.6","285","28.731548","-89.693004"
"27032","1","A","Manta Ray Gathering Company, L.L.C.","FIXED","Y","G13363","TERMIN","1995-12-17","30.7","541","27.92248336","-92.55396793"
"21433","1","A","GOM Shelf LLC","FIXED","Y","G01039","TERMIN","1964-01-01","62.6","235","28.320828","-91.212833"
"23229","1","A","GOM Shelf LLC","FIXED","Y","G04232","TERMIN","1983-01-01","43.6","78","28.564446","-90.803085"
"23563","1","C","GOM Shelf LLC","FIXED","Y","G01039","TERMIN","1989-01-01","37.6","210","28.311042","-91.208915"
"23591","1","A","GOM Shelf LLC","FIXED","Y","G09627","TERMIN","1989-01-01","37.6","218","28.299314","-91.087579"
"23906","1","B","GOM Shelf LLC","FIXED","Y","00479","TERMIN","1990-01-01","36.6","22","29.216772","-91.604263"
"23939","1","8","GOM Shelf LLC","CAIS","N","00479","TERMIN","1991-01-01","35.6","18","29.218997","-91.610661"
"23939","2","9","GOM Shelf LLC","FIXED","N","00479","TERMIN","1993-02-08","33.5","18","29.2189591","-91.6106323"
"21741","1","B","GOM Shelf LLC","FIXED","Y","G02311","TERMIN","1974-01-01","52.6","30","29.131186","-91.892132"
"10075","1","A","GOM Shelf LLC","FIXED","Y","G02665","TERMIN","1976-01-01","50.6","200","27.854496","-96.036418"
"10144","1","C","GOM Shelf LLC","FIXED","Y","G02719","TERMIN","1980-01-01","46.6","327","27.946333","-94.397567"
"10249","1","B","GOM Shelf LLC","FIXED","Y","G02665","TERMIN","1984-01-01","42.6","204","27.835135","-96.013057"
"10249","2","C-AUX","GOM Shelf LLC","FIXED","N","G02665","TERMIN","1986-01-01","40.6","204","27.835174","-96.013944"
"10249","3","E","GOM Shelf LLC","FIXED","N","G02665","TERMIN","1990-01-01","36.6","204","27.835125","-96.01263"
