"COMPLEX_ID_NUM","STRUCTURE_NUMBER","REMOVAL_DISPOSITION"
"20792","1","To Shore"
"20794","1","To Shore"
"20795","1","To Shore"
"20795","2","To Shore"
"20796","1","To Shore"
"20797","1","To Shore"
"20798","1","To Shore"
"20799","1","To Shore"
"20800","1","To Shore"
"20801","1","To Shore"
"20802","1","To Shore"
"20803","1","To Shore"
"20804","1",""
"20805","1","To Shore"
"20806","2","To Shore"
"20806","3","To Shore"
"20807","1",""
"20808","1","To Shore"
"20810","1","To Shore"
"20812","1","To Shore"
"20813","1",""
"20814","1",""
"20815","1","To Shore"
"20816","1",""
"20817","1","To Shore"
"20818","1","To Shore"
"20819","1",""
"20820","1",""
"20821","1","To Shore"
"20822","1",""
"20823","1",""
"20824","1",""
"20825","1","To Shore"
"20826","1","To Shore"
"20827","1",""
"20828","1","To Shore"
"20829","1","To Shore"
"20830","1",""
"20831","1","To Shore"
"20832","1","To Shore"
"20833","1",""
"20834","1","To Shore"
"20835","1","To Shore"
"20836","1",""
"20837","1",""
"20838","1","To Shore"
"20839","1",""
"20840","1","To Shore"
"20841","1",""
"20842","1","To Shore"
"20842","2","To Shore"
"20843","1",""
"20844","1","To Shore"
"20845","1",""
"20845","2","To Shore"
"20846","1",""
"20847","1","To Shore"
"20851","1",""
"20852","1",""
"20853","1",""
"20855","1",""
"20856","1",""
"20857","1",""
"20858","1","To Shore"
"20859","1",""
"20860","1",""
"20861","1",""
"20862","1",""
"20863","1","To Shore"
"20864","1",""
"20865","1",""
"20866","1","To Shore"
"20866","2","To Shore"
"20867","1",""
"20868","1",""
"20869","1","To Shore"
"20870","1","To Shore"
"20871","1","To Shore"
"20872","1",""
"20873","1","To Shore"
"20874","1","To Shore"
"20874","2","To Shore"
"20875","1","To Shore"
"20876","1","To Shore"
"20877","1",""
"20877","2",""
"20878","1","To Shore"
"20879","1","To Shore"
"20880","1","To Shore"
"20882","1",""
"20883","1","To Shore"
"20884","1","To Shore"
"20885","1","To Shore"
"20885","3",""
"20885","5","To Shore"
"20885","6","To Shore"
"20885","7","To Shore"
"21202","1",""
"21202","2",""
"21202","3",""
"21203","1",""
"21204","1",""
"21205","1","Rigs-to-Reef"
"21208","1",""
"21209","1","To Shore"
"21210","1",""
"21211","1","To Shore"
"21212","1","To Shore"
"21213","1","To Shore"
"21214","1","To Shore"
"21215","1","Rigs-to-Reef"
"21216","1","Rigs-to-Reef"
"21217","1","To Shore"
"21218","1","To Shore"
"21219","1",""
"21219","2",""
"21220","1","Rigs-to-Reef"
"21221","1","To Shore"
"21222","1","To Shore"
"21223","1","To Shore"
"21223","2","To Shore"
"21224","1","To Shore"
"21226","1","To Shore"
"21226","2",""
"21227","1","To Shore"
"21228","1","To Shore"
"21228","2","To Shore"
"21231","1",""
"21232","1","Rigs-to-Reef"
"21233","1","Rigs-to-Reef"
"21234","1","To Shore"
"21235","1","To Shore"
"21236","1","To Shore"
"21237","1","To Shore"
"21238","1",""
"21239","1",""
"21240","1","To Shore"
"21241","1","To Shore"
"21242","1",""
"21243","1","To Shore"
"21244","1","To Shore"
"21245","1","To Shore"
"21245","2","To Shore"
"21246","1","To Shore"
"21246","2","To Shore"
"21247","1","To Shore"
"21247","2","To Shore"
"21248","1","To Shore"
"21248","2","To Shore"
"21249","1","To Shore"
"21250","1","To Shore"
"21251","1","To Shore"
"21252","1","To Shore"
"21252","2","To Shore"
"21253","1","To Shore"
"21254","1","To Shore"
"21255","1",""
"21256","1",""
"21257","1",""
"21258","1","To Shore"
"21259","1",""
"21260","1",""
"21261","1",""
"21262","1",""
"21263","1",""
"21264","1","To Shore"
"21265","1","To Shore"
"21266","1",""
"21267","1","To Shore"
"21268","1","To Shore"
"21269","1","To Shore"
"21269","2","To Shore"
"21271","1",""
"21271","2",""
"21271","3",""
"21274","1","To Shore"
"21275","1","To Shore"
"21276","1","To Shore"
"21277","1","To Shore"
"21278","1",""
"21279","1",""
"21280","1",""
"21281","1",""
"21282","1",""
"21284","1",""
"21285","1","To Shore"
"21286","1",""
"21287","1","To Shore"
"21288","1","To Shore"
"21289","1",""
"21290","1",""
"21291","1",""
"21292","1",""
"21293","1","To Shore"
"21294","1",""
"21295","1",""
"21296","1",""
"21297","1",""
"21298","1",""
"21299","1","To Shore"
"21300","1",""
"21302","1",""
"21305","1","To Shore"
"21306","1","To Shore"
"21307","1","To Shore"
"21308","1","To Shore"
"21309","1",""
"21310","1",""
"21311","1",""
"21312","1",""
"21313","1",""
"21314","1","To Shore"
"21315","1",""
"21316","1",""
"21317","1","To Shore"
"21318","1","To Shore"
"21319","1",""
"21320","1",""
"21321","1","To Shore"
"21322","1","To Shore"
"21323","1",""
"21324","1",""
"21325","1",""
"21326","1",""
"21327","1",""
"21328","1",""
"21329","1",""
"21330","1","To Shore"
"21331","1",""
"21332","1","To Shore"
"21333","1",""
"21334","1","To Shore"
"21335","1",""
"21336","1","To Shore"
"21337","1","To Shore"
"21337","2","To Shore"
"21338","1",""
"21338","2","To Shore"
"21339","1",""
"21339","2",""
"21339","3",""
"21340","1","To Shore"
"21341","1","To Shore"
"21342","1","To Shore"
"21343","1","To Shore"
"21344","1",""
"21344","2",""
"21345","1",""
"21346","1",""
"21347","1",""
"21348","1",""
"21349","1","To Shore"
"21349","2","To Shore"
"21350","1","To Shore"
"21351","1",""
"21352","1","To Shore"
"21353","1","To Shore"
"21354","1","To Shore"
"21354","2","To Shore"
"21354","3","To Shore"
"21355","1","To Shore"
"21356","1","To Shore"
"21357","1",""
"21358","1","To Shore"
"21359","1","To Shore"
"21360","2",""
"21361","1","To Shore"
"21361","2","To Shore"
"21362","1","To Shore"
"21363","1",""
"21364","1","To Shore"
"21365","1",""
"21366","1","To Shore"
"21367","1","To Shore"
"21368","1",""
"21369","1",""
"21370","1","To Shore"
"21371","1","To Shore"
"21372","1",""
"21373","1","To Shore"
"21374","1",""
"21375","1",""
"21376","1",""
"21377","1",""
"21378","1",""
"21379","1",""
"21380","1","To Shore"
"21381","1","To Shore"
"21383","1",""
"21385","1",""
"21386","1",""
"21387","1",""
"21388","1",""
"21389","1",""
"21390","1","To Shore"
"21391","1",""
"21392","1","Rigs-to-Reef"
"21393","1","Rigs-to-Reef"
"21393","2","Rigs-to-Reef"
"21394","1","Rigs-to-Reef"
"21396","1","Rigs-to-Reef"
"21399","1","To Shore"
"21400","1","Rigs-to-Reef"
"21401","1","To Shore"
"21402","1","To Shore"
"21403","1","To Shore"
"21403","2","To Shore"
"21404","1","To Shore"
"21405","1","To Shore"
"21405","2","To Shore"
"21405","3","To Shore"
"21405","4","To Shore"
"21405","5",""
"21406","1",""
"21407","1","To Shore"
"21408","1","To Shore"
"21408","2","To Shore"
"21408","3","To Shore"
"21408","4","To Shore"
"21408","5","To Shore"
"21409","1","To Shore"
"21409","2","To Shore"
"21409","3","To Shore"
"21410","3",""
"21410","4",""
"21410","5",""
"21411","10","To Shore"
"21413","1",""
"21415","1",""
"21416","1",""
"21419","1",""
"21420","1","To Shore"
"21421","1",""
"21422","1","To Shore"
"21423","1",""
"21424","1",""
"21425","1",""
"21426","1","Rigs-to-Reef"
"21427","1","To Shore"
"21430","1","To Shore"
"21431","1","To Shore"
"21432","1","To Shore"
"21434","1","Rigs-to-Reef"
"21436","1",""
"21437","1",""
"21437","2",""
"21437","3",""
"21438","1","To Shore"
"21438","2","To Shore"
"21438","3","To Shore"
"21438","4",""
"21439","1","To Shore"
"21439","2",""
"21439","3","To Shore"
"21439","4","To Shore"
"21440","1",""
"21440","2",""
"21440","3",""
"21441","1",""
"21441","2","To Shore"
"21442","1","To Shore"
"21442","2","To Shore"
"21442","3","To Shore"
"21442","4","To Shore"
"21443","1","To Shore"
"21444","1","To Shore"
"21444","2","To Shore"
"21445","1","To Shore"
"21446","1","To Shore"
"21447","1","To Shore"
"21450","1","To Shore"
"21451","1","To Shore"
"21453","1",""
"21453","2",""
"21454","1","To Shore"
"21455","1","To Shore"
"21456","1",""
"21457","1",""
"21457","2","To Shore"
"21458","1","To Shore"
"21458","2",""
"21460","1",""
"21461","1",""
"21463","1","To Shore"
"21463","2","To Shore"
"21464","1","To Shore"
"21465","1","To Shore"
"21466","1","To Shore"
"21467","1","Rigs-to-Reef"
"21467","2","Rigs-to-Reef"
"21468","1","To Shore"
"21468","2","To Shore"
"21468","3",""
"21468","4",""
"21468","5","To Shore"
"21468","6","To Shore"
"21468","7","To Shore"
"21469","1","To Shore"
"21469","2","To Shore"
"21470","1","To Shore"
"21470","2","To Shore"
"21470","3","To Shore"
"21471","1","To Shore"
"21471","2","To Shore"
"21474","1","To Shore"
"21478","1",""
"21479","1","To Shore"
"21480","1","To Shore"
"21481","1",""
"21484","1","To Shore"
"21489","1",""
"21490","1",""
"21491","1","To Shore"
"21492","1","To Shore"
"21493","1",""
"21494","1","To Shore"
"21494","2","To Shore"
"21495","1","To Shore"
"21495","2","To Shore"
"21496","1","To Shore"
"21497","1","To Shore"
"21498","1","To Shore"
"21499","1",""
"21500","1",""
"21501","1","Rigs-to-Reef"
"21501","2","Rigs-to-Reef"
"21503","1",""
"21507","1","To Shore"
"21508","1","To Shore"
"21509","1","To Shore"
"21511","1","To Shore"
"21512","1","To Shore"
"21513","1","To Shore"
"21514","1","To Shore"
"21515","1","To Shore"
"21515","2","To Shore"
"21515","3","To Shore"
"21516","1","To Shore"
"21518","1","To Shore"
"21518","2","To Shore"
"21518","3","To Shore"
"21519","1","To Shore"
"21520","1",""
"21521","1",""
"21523","1",""
"21524","1","To Shore"
"21531","1",""
"21532","1",""
"21533","1",""
"21534","1","To Shore"
"21535","1",""
"21537","1","To Shore"
"21539","1",""
"21541","1",""
"21542","1","To Shore"
"21543","1","To Shore"
"21544","1","To Shore"
"21546","1","To Shore"
"21546","2","To Shore"
"21546","3","To Shore"
"21547","1",""
"21548","1",""
"21549","1","To Shore"
"21550","1",""
"21560","1",""
"21561","1","To Shore"
"21562","1","To Shore"
"21563","1","To Shore"
"21564","1","To Shore"
"21565","1","To Shore"
"21569","1","To Shore"
"21570","1","Rigs-to-Reef"
"21571","1","Rigs-to-Reef"
"21571","2","Rigs-to-Reef"
"21571","3","Rigs-to-Reef"
"21573","1","Rigs-to-Reef"
"21574","1","To Shore"
"21575","1","To Shore"
"21576","1","Rigs-to-Reef"
"21577","1","Rigs-to-Reef"
"21578","1","Rigs-to-Reef"
"21579","1","To Shore"
"21581","1","To Shore"
"21582","1","Rigs-to-Reef"
"21583","1","To Shore"
"21584","1",""
"21585","1","To Shore"
"21591","1","Rigs-to-Reef"
"21594","1","To Shore"
"21598","1",""
"21599","1","To Shore"
"21601","1","To Shore"
"21601","2","To Shore"
"21602","1","To Shore"
"21604","1","To Shore"
"21604","2","To Shore"
"21605","1",""
"21606","1","To Shore"
"21607","1","To Shore"
"21608","1",""
"21609","1","To Shore"
"21610","1","To Shore"
"21610","2","To Shore"
"21611","1",""
"21612","1",""
"21613","1","To Shore"
"21614","1",""
"21615","1",""
"21616","1","To Shore"
"21617","1","To Shore"
"21618","1",""
"21619","1","To Shore"
"21620","1",""
"21621","1",""
"21622","1","To Shore"
"21623","1","To Shore"
"21624","1","To Shore"
"21625","1","To Shore"
"21627","1","To Shore"
"21632","1","To Shore"
"21633","1",""
"21635","1",""
"21636","1","To Shore"
"21637","1","To Shore"
"21638","1","To Shore"
"21639","1","To Shore"
"21640","1","To Shore"
"21641","1","To Shore"
"21642","1","To Shore"
"21643","1","To Shore"
"21644","1","To Shore"
"21645","1","To Shore"
"21646","1","To Shore"
"21647","1","To Shore"
"21648","1",""
"21649","1","To Shore"
"21650","1","To Shore"
"21651","1",""
