"estrutura","num","complexo","operador","tipo","estrutura_maior","contrato","contrato_status","contrato_ativo","instalada","removida","vida_anos","lamina_m","lat","lon"
"C-aux","2","21653","Century Exploration New Orleans, LLC","FIXED","Y","00420","TERMIN","N","1995-01-01","2010-10-16","15.8","62","28.68239107","-91.2179553"
"C","1","21653","Century Exploration New Orleans, LLC","FIXED","N","00420","TERMIN","N","1956-01-01","2000-08-29","44.7","62","28.68244","-91.217675"
"22","1","23550","Century Exploration New Orleans, LLC","CAIS","N","00420","TERMIN","N","1988-01-01","2013-09-08","25.7","60","28.698887","-91.20797"
"B","2","23672","Century Exploration New Orleans, LLC","FIXED","Y","G05315","TERMIN","N","1989-01-01","2009-08-16","20.6","75","28.908463","-93.301734"
"A","1","23672","Century Exploration New Orleans, LLC","FIXED","Y","G05315","TERMIN","N","1988-01-01","2016-05-31","28.4","75","28.908738","-93.301739"
"2 ST","1","23699","Century Exploration New Orleans, LLC","CAIS","N","G05315","TERMIN","N","1988-01-01","2013-12-30","26","75","28.906189","-93.322326"
"4","1","23723","Century Exploration New Orleans, LLC","CAIS","N","G05315","TERMIN","N","1989-01-01","2008-03-12","19.2","75","28.911424","-93.285367"
"3","1","23737","Century Exploration New Orleans, LLC","CAIS","N","G05315","TERMIN","N","1989-01-01","2008-01-27","19.1","75","28.910451","-93.297781"
"5","1","23739","Century Exploration New Orleans, LLC","CAIS","N","G05315","TERMIN","N","1989-01-01","2008-01-29","19.1","75","28.910466","-93.297097"
"6","1","23740","Century Exploration New Orleans, LLC","CAIS","N","G05315","TERMIN","N","1989-01-01","2008-03-22","19.2","75","28.914021","-93.313729"
"A (COOPE FPF)","1","24079","Newfield Exploration Gulf Coast LLC","SEMI","Y","G07486","TERMIN","N","1995-07-07","1999-08-13","4.1","2097","27.62428816","-92.18969085"
"B","1","26140","Newfield Exploration Gulf Coast LLC","FIXED","Y","G02112","TERMIN","N","1995-01-01","2005-11-09","10.9","240","28.256879","-91.682497"
"1","1","33034","Newfield Exploration Gulf Coast LLC","CAIS","N","G15162","RELINQ","N","1996-07-30","1999-08-03","3","26","29.44499704","-92.45247878"
"A","1","22038","Castex Offshore, Inc.","FIXED","Y","00317","TERMIN","N","1977-01-01","2016-11-04","39.8","25","29.287537","-91.81521"
"11","1","23300","Castex Offshore, Inc.","CAIS","N","00317","TERMIN","N","1987-01-01","2016-12-16","30","21","29.288815","-91.828125"
"A","1","10268","Castex Offshore, Inc.","FIXED","Y","G06156","TERMIN","N","1985-01-01","2021-09-19","36.7","45","29.320315","-93.955933"
"A","1","676","Castex Offshore, Inc.","FIXED","N","G15189","TERMIN","N","2000-06-01","2016-11-15","16.5","118","28.67218602","-92.44659956"
"A","1","723","Castex Offshore, Inc.","FIXED","N","G21070","TERMIN","N","2000-06-16","2014-10-07","14.3","82","29.03202569","-92.67664372"
"B","1","1053","Castex Offshore, Inc.","FIXED","N","G15257","TERMIN","N","2001-12-16","2012-10-16","10.8","182","28.44804351","-91.70643793"
"#4","1","1167","Castex Offshore, Inc.","CAIS","N","G07746","TERMIN","N","2002-08-15","2019-06-03","16.8","18","28.99005002","-91.18912073"
"A","1","1462","Castex Offshore, Inc.","CAIS","Y","G22588","TERMIN","N","2004-04-03","2017-09-18","13.5","107","28.72592739","-92.84170438"
"B","1","1744","Castex Offshore, Inc.","FIXED","N","G25959","RELINQ","N","2006-04-23","2017-09-16","11.4","113","28.69830999","-92.78513576"
"C","1","2512","Castex Offshore, Inc.","CAIS","N","G33112","RELINQ","N","2012-12-02","2021-10-13","8.9","55","28.87738902","-90.63826364"
"1","1","2603","Castex Offshore, Inc.","CAIS","N","G33409","TERMIN","N","2015-05-26","2017-09-11","2.3","53","29.27425397","-93.87413278"
"B","1","2522","Bois d' Arc Exploration LLC","CAIS","N","G33644","PROD","S","2013-03-20","","","63","28.63697104","-91.06723579"
"3","1","23188","XTO Offshore Inc.","FIXED","N","G03419","TERMIN","N","1985-01-01","2008-11-17","23.9","60","29.478358","-88.828527"
"H","1","22306","XTO Offshore Inc.","FIXED","Y","G00997","TERMIN","N","1979-01-01","2010-08-01","31.6","215","28.315539","-91.740622"
"I","1","23268","XTO Offshore Inc.","FIXED","Y","G00993","TERMIN","N","1985-01-01","2010-08-18","25.6","203","28.371954","-91.685272"
"A","1","23379","XTO Offshore Inc.","FIXED","Y","G06678","TERMIN","N","1990-01-01","2004-12-30","15","141","28.58721991","-92.2812385"
"A","1","21910","XTO Offshore Inc.","FIXED","Y","G02223","TERMIN","N","1975-01-01","2000-10-20","25.8","175","28.39223","-93.056331"
"A","1","22095","XTO Offshore Inc.","FIXED","Y","G02218","TERMIN","N","1978-01-01","1989-06-26","11.5","132","28.522917","-93.20795"
"A-1","1","24180","XTO Offshore Inc.","CAIS","N","G13961","TERMIN","N","1994-09-13","2011-06-18","16.8","95","29.51572767","-88.65337569"
"A","1","10397","XTO Offshore Inc.","FIXED","Y","G14792","TERMIN","N","1995-06-18","2011-06-12","16","71","28.06013807","-96.58941878"
"K","1","32001","XTO Offshore Inc.","FIXED","Y","G00993","TERMIN","N","1996-01-01","2010-09-05","14.7","195","28.41070297","-91.67969382"
"1","1","367","XTO Offshore Inc.","CAIS","Y","G17960","TERMIN","N","1999-07-01","2007-04-27","7.8","23","29.2313717","-91.75488895"
"B","1","789","XTO Offshore Inc.","FIXED","N","G15195","TERMIN","N","2000-11-01","2004-12-04","4.1","142","28.58176672","-92.29881203"
"A","1","960","XTO Offshore Inc.","FIXED","Y","G15703","TERMIN","N","2001-07-22","2009-08-13","8.1","193","27.07832732","-96.85630548"
"A","1","970","XTO Offshore Inc.","FIXED","N","G17840","TERMIN","N","2001-08-15","2007-03-14","5.6","60","29.28718608","-92.72188137"
"B","1","1097","XTO Offshore Inc.","CAIS","N","G22711","EXPIR","N","2002-04-11","2007-09-05","5.4","60","28.62631616","-90.90320452"
"A","1","1150","XTO Offshore Inc.","FIXED","N","G22765","TERMIN","N","2002-07-06","2008-07-20","6","57","29.08414139","-90.00594772"
"B","1","1161","XTO Offshore Inc.","FIXED","Y","G22713","TERMIN","N","2002-08-04","2010-05-05","7.8","72","28.58814302","-90.90229214"
"A","1","1157","XTO Offshore Inc.","WP","Y","G19754","TERMIN","N","2002-07-25","2009-07-20","7","23","29.33633856","-92.29783592"
"CAIS.#2","1","1177","XTO Offshore Inc.","CAIS","N","G19754","TERMIN","N","2002-09-01","2008-05-26","5.7","23","29.35750933","-92.29142845"
"B","1","1188","XTO Offshore Inc.","FIXED","N","G23162","TERMIN","N","2001-12-01","2011-06-07","9.5","85","28.58427843","-95.41791521"
"A","1","1187","XTO Offshore Inc.","FIXED","Y","G23162","TERMIN","N","2002-11-20","2011-06-05","8.5","85","28.55237626","-95.40334696"
"C","1","1248","XTO Offshore Inc.","CAIS","Y","G22792","TERMIN","N","2003-07-10","2009-09-17","6.2","58","29.58911178","-88.74782176"
"A","1","1280","XTO Offshore Inc.","WP","Y","G23222","TERMIN","N","2003-06-19","2010-05-26","6.9","324","27.99208752","-93.56840674"
"C","1","1455","XTO Offshore Inc.","FIXED","N","G03091","TERMIN","N","2004-05-18","2010-08-21","6.3","74","28.05916227","-96.57670676"
"A","1","1493","XTO Offshore Inc.","CAIS","N","G23964","TERMIN","N","2005-01-01","2009-07-28","4.6","52","29.65909349","-88.72452966"
"A","1","1657","XTO Offshore Inc.","FIXED","N","G23936","TERMIN","N","2005-03-28","2011-09-14","6.5","219","28.32483825","-90.27938829"
"A","1","20928","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","00558","TERMIN","N","1958-01-01","","","27","29.300422","-92.395344"
"A-AUX1","2","20928","Transcontinental Gas Pipe Line Company, LLC","FIXED","Y","00558","TERMIN","N","1958-01-01","1979-12-31","22","27","29.300697","-92.395347"
"Junction","2","21929","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","G02279","TERMIN","N","1980-01-01","","","193","28.41118287","-92.05439075"
"A SOUTH","1","21929","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","G02279","TERMIN","N","1976-01-01","2014-11-28","38.9","193","28.41212835","-92.05396523"
"A-VALVE","1","10002","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1969-01-01","","","95","28.314639","-95.620576"
"A","1","10184","Transcontinental Gas Pipe Line Company, LLC","WP","N","","","","1981-01-01","1988-12-04","7.9","90","28.612467","-95.165926"
"B-AUX","2","10184","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1982-01-01","2018-07-30","36.6","90","28.612893","-95.166378"
"K","1","1796","Arena Offshore, LP","CAIS","N","G04452","PROD","S","2005-12-18","2021-10-21","15.8","94","28.74446307","-91.67112308"
"8","1","1807","Arena Offshore, LP","CAIS","N","G02895","TERMIN","N","2006-01-26","2021-08-06","15.5","10","29.24069195","-91.37758244"
"CJ","1","1824","Arena Offshore, LP","FIXED","Y","G01240","PROD","S","2006-07-06","","","64","28.87293326","-90.47413078"
"K","1","1808","Arena Offshore, LP","FIXED","Y","G24910","PROD","S","2006-03-29","","","182","28.42775864","-91.47514529"
"B","1","1855","Arena Offshore, LP","FIXED","Y","G36211","EXPIR","N","2006-04-10","","","252","28.25529001","-91.43369287"
"C","1","1882","Arena Offshore, LP","FIXED","Y","G30183","","","2006-08-18","","","15","29.33093671","-92.16466735"
"1","1","1946","Arena Offshore, LP","CAIS","N","G27851","TERMIN","N","2007-01-24","","","23","29.28573067","-92.20606215"
"Z","1","1979","Arena Offshore, LP","FIXED","N","00462","UNIT","S","2006-12-28","","","121","28.65519276","-90.26008267"
"B","1","1991","Arena Offshore, LP","FIXED","Y","G10638","PROD","S","2007-01-10","","","243","28.17394296","-92.68553181"
"A","1","2041","Arena Offshore, LP","CAIS","N","G03197","PROD","S","2007-05-23","","","103","29.47625523","-88.67677211"
"B","1","2044","Arena Offshore, LP","WP","Y","G24415","TERMIN","N","2007-06-24","2013-08-25","6.2","196","28.12807535","-94.18353025"
"A","1","2058","Arena Offshore, LP","FIXED","Y","G27121","TERMIN","N","2007-11-30","2013-09-07","5.8","240","28.28121176","-91.53917843"
"B","1","2144","Arena Offshore, LP","FIXED","Y","G14482","PROD","S","2008-02-25","2025-08-01","17.4","326","28.1499822","-91.37712286"
"F","1","2146","Arena Offshore, LP","FIXED","Y","G00989","PROD","S","2008-10-04","","","180","28.4303546","-91.46965314"
"E","1","2175","Arena Offshore, LP","FIXED","Y","G26001","TERMIN","N","2008-06-18","2018-09-12","10.2","145","28.57060004","-91.86650513"
"C","1","2179","Arena Offshore, LP","FIXED","Y","G24766","TERMIN","N","2008-09-28","2019-06-11","10.7","187","28.29130656","-93.37242256"
"C","1","2191","Arena Offshore, LP","FIXED","Y","G24912","PROD","S","2008-06-23","","","231","28.28313496","-91.672935"
"G","1","2193","Arena Offshore, LP","CAIS","N","G02601","TERMIN","N","2008-04-27","2021-08-10","13.3","12","29.24771612","-91.39602244"
"2","1","2208","Arena Offshore, LP","CAIS","N","G27851","TERMIN","N","2008-10-16","","","23","29.26056512","-92.20380517"
"E","1","2233","Arena Offshore, LP","FIXED","N","G02955","TERMIN","N","2009-06-13","","","178","29.41988333","-88.59310084"
"D","1","2234","Arena Offshore, LP","FIXED","N","G02955","TERMIN","N","2009-06-13","","","176","29.43413937","-88.57574942"
"JE","1","2346","Arena Offshore, LP","CAIS","N","00796","TERMIN","N","2010-04-09","","","25","29.06317729","-91.44833501"
"E","1","2370","Arena Offshore, LP","CAIS","N","G31369","TERMIN","N","2010-03-06","","","26","29.08160619","-91.48825921"
"C","1","2387","Arena Offshore, LP","FIXED","N","G10638","PROD","S","2010-07-02","","","243","28.18007074","-92.6945184"
"A","1","2479","Arena Offshore, LP","FIXED","N","G33608","PROD","S","2012-07-28","","","223","28.22878517","-92.53031517"
"K","1","2471","Arena Offshore, LP","FIXED","Y","G02118","PROD","S","2012-06-05","","","270","28.19610884","-91.66658051"
"A","1","2532","Arena Offshore, LP","FIXED","N","G31442","UNIT","S","2013-07-10","","","30","29.54178092","-88.98971154"
"C","1","2580","Arena Offshore, LP","FIXED","N","G02705","PROD","S","2014-08-05","","","253","28.01486634","-93.95569344"
"AA","1","2628","Arena Offshore, LP","FIXED","N","00463","UNIT","S","2015-07-03","","","136","28.616114","-90.26933165"
"K","1","2629","Arena Offshore, LP","FIXED","N","00457","PROD","S","2015-06-07","","","152","28.68363561","-90.14850504"
"3","1","1958","Matagorda Island Gas Operations,LLC","CAIS","N","G03096","TERMIN","N","2007-02-27","","","75","28.04181371","-96.57569825"
"2","1","1950","Matagorda Island Gas Operations,LLC","CAIS","N","G03096","TERMIN","N","2006-06-11","","","72","28.03386318","-96.5764048"
"4","1","1976","Matagorda Island Gas Operations,LLC","CAIS","N","G03096","TERMIN","N","2007-03-01","","","72","28.02690776","-96.58366572"
"7","1","1985","Matagorda Island Gas Operations,LLC","CAIS","N","G03091","TERMIN","N","2007-05-18","","","74","28.0614146","-96.5522601"
"D","1","2127","Matagorda Island Gas Operations,LLC","FIXED","N","G04139","TERMIN","N","2008-05-15","","","72","28.0420848","-96.60496724"
"8","1","2161","Matagorda Island Gas Operations,LLC","CAIS","N","G03091","TERMIN","N","2008-07-03","","","75","28.07304345","-96.56643707"
"9","1","2178","Matagorda Island Gas Operations,LLC","CAIS","N","G03091","TERMIN","N","2008-07-11","","","75","28.08733667","-96.54329571"
"E","1","22128","ANKOR E&P Holdings Corporation","FIXED","N","G02894","TERMIN","N","1978-01-01","2016-10-05","38.8","10","29.257583","-91.420021"
"A-VALVE","1","20320","Kinetica Partners, LLC","FIXED","Y","","","","1970-01-01","","","260","28.865533","-89.278262"
"B","1","20739","Kinetica Partners, LLC","FIXED","Y","G02105","TERMIN","N","1972-01-01","","","214","28.342558","-91.537566"
"B Prod","2","20739","Kinetica Partners, LLC","FIXED","Y","G02105","TERMIN","N","1972-01-01","2011-08-16","39.6","214","28.342558","-91.537566"
"A-CG","2","20917","Kinetica Partners, LLC","FIXED","N","00437","TERMIN","N","1958-01-01","","","108","28.704729","-91.764334"
"A-GEN","3","20917","Kinetica Partners, LLC","FIXED","Y","00437","TERMIN","N","1958-01-01","2000-07-22","42.6","108","28.704454","-91.764333"
"A-QRT","1","20917","Kinetica Partners, LLC","FIXED","N","00437","TERMIN","N","1958-01-01","2000-07-22","42.6","108","28.704223","-91.764332"
"A","1","22118","Kinetica Partners, LLC","FIXED","N","","","","1978-01-01","","","396","28.018456","-92.25469"
"VP","1","514","Kinetica Partners, LLC","FIXED","N","","","","1979-01-01","","","16","29.1931153","-91.5263101"
"VP-Aux","2","514","Kinetica Partners, LLC","FIXED","N","","","","2008-02-09","2025-09-16","17.6","16","29.19342089","-91.52608192"
"CG-A-VALVE","1","515","Kinetica Partners, LLC","FIXED","N","G01687M","","","1972-01-01","","","70","28.76128166","-91.4032131"
"COMP-B-VALVE","2","515","Kinetica Partners, LLC","FIXED","N","G01687M","","","1972-01-01","","","70","28.76265614","-91.40399417"
"C-QTRS","3","515","Kinetica Partners, LLC","FIXED","N","G01687M","","","1972-01-01","","","70","28.76210651","-91.4033697"
"FLRPILE-D","4","515","Kinetica Partners, LLC","FIXED","N","G01687M","","","1972-01-01","","","70","28.76111657","-91.40340021"
"FLRPILE-E","5","515","Kinetica Partners, LLC","FIXED","N","G01687M","","","1972-01-01","","","70","28.76091021","-91.4036341"
"FLRPILE-F","6","515","Kinetica Partners, LLC","FIXED","N","G01687M","","","1972-01-01","","","70","28.7606901","-91.40388358"
"PP","1","523","Kinetica Partners, LLC","FIXED","N","","","","1978-01-01","","","130","28.59048926","-92.46587504"
"C-QTRS","2","523","Kinetica Partners, LLC","FIXED","N","","","","1978-01-01","2018-09-09","40.7","130","28.58946563","-92.46627168"
"B","3","523","Kinetica Partners, LLC","FIXED","N","","","","1978-01-01","2018-09-09","40.7","130","28.59026806","-92.46664516"
"CG-VALVE","1","25000","Kinetica Partners, LLC","FIXED","N","","","","1962-07-02","","","54","29.40685053","-92.89604418"
"COMP","2","25000","Kinetica Partners, LLC","FIXED","N","","","","1979-01-01","2018-10-13","39.8","54","29.4065718","-92.89635392"
"CGP-VALVE","1","25013","Kinetica Partners, LLC","FIXED","N","","","","1972-06-22","","","110","28.57314768","-91.26917215"
"CGP","1","25018","Kinetica Partners, LLC","FIXED","N","","","","1982-05-21","","","45","29.52712718","-93.81863886"
"CG-VALVE","1","25023","Kinetica Partners, LLC","FIXED","N","","","","1963-03-08","2023-09-28","60.6","35","29.63256502","-93.03830867"
"PP-VALVE","1","25025","Kinetica Partners, LLC","FIXED","N","","","","1962-07-02","","","59","29.30568445","-93.02510361"
"A","1","90004","SM Energy Company","FIXED","Y","G15201","TERMIN","N","1997-06-07","2010-03-06","12.7","176","28.450365","-92.5907711"
"A","1","23560","Northstar Offshore Group, LLC","FIXED","Y","G31394","EXPIR","N","1988-01-01","2018-07-13","30.5","112","28.544285","-91.233653"
"B","2","23560","Northstar Offshore Group, LLC","FIXED","Y","G31394","EXPIR","N","1991-01-01","2009-05-26","18.4","112","28.544378","-91.233074"
"A","1","245","Northstar Offshore Group, LLC","FIXED","N","G16469","TERMIN","N","1998-06-10","2017-12-02","19.5","82","29.10044015","-89.81919208"
"A-AUX","2","245","Northstar Offshore Group, LLC","FIXED","N","G16469","TERMIN","N","2000-08-19","2017-12-01","17.3","82","29.10042287","-89.81936143"
"G","1","1948","Northstar Offshore Group, LLC","FIXED","N","G23956","TERMIN","N","2006-08-05","2018-03-02","11.6","70","29.12755916","-89.83557803"
"No.2","1","2386","Northstar Offshore Group, LLC","FIXED","N","G27003","TERMIN","N","2010-06-08","2013-09-10","3.3","40","29.4591307","-93.40159871"
"Well 1","1","2562","Northstar Offshore Group, LLC","CAIS","N","G33092","EXPIR","N","2014-01-05","2018-03-13","4.2","64","28.96198712","-91.85124678"
"A","1","1485","White Oak Operating Company, L.L.C.","FIXED","Y","G25041","TERMIN","N","2004-12-15","2013-11-03","8.9","47","29.96284109","-88.7491792"
"1","1","1700","White Oak Operating Company, L.L.C.","CAIS","N","G25047","TERMIN","N","2005-05-07","2013-10-30","8.5","59","29.96161472","-88.6901686"
"B","1","10278","Tammany Energy Ventures LLC","FIXED","Y","G06011","TERMIN","N","1985-01-01","2000-06-30","15.5","126","27.371344","-96.930052"
"A","1","10279","Tammany Energy Ventures LLC","FIXED","Y","G06011","TERMIN","N","1985-01-01","2000-06-30","15.5","120","27.396256","-96.929714"
"A","1","22496","Talos Energy Offshore LLC","FIXED","N","G04119","TERMIN","N","1981-01-01","2018-08-20","37.6","58","28.893282","-90.460837"
"B","2","22496","Talos Energy Offshore LLC","FIXED","Y","G04119","TERMIN","N","1981-01-01","1995-05-06","14.3","58","28.893086","-90.460614"
"A","1","23013","Talos Energy Offshore LLC","FIXED","Y","G04842","TERMIN","N","1984-01-01","2023-05-28","39.4","50","28.914125","-90.486815"
"B","2","23013","Talos Energy Offshore LLC","FIXED","N","G04842","TERMIN","N","1984-01-01","2023-05-23","39.4","50","28.913955","-90.486817"
"C","3","23013","Talos Energy Offshore LLC","FIXED","Y","G04842","TERMIN","N","1994-05-09","2023-05-14","29","50","28.91421084","-90.48643626"
"A","1","23129","Talos Energy Offshore LLC","FIXED","Y","G05599","TERMIN","N","1985-01-01","2022-08-05","37.6","56","28.673384","-90.680095"
"A","1","23199","Talos Energy Offshore LLC","FIXED","Y","G35292","UNIT","S","1985-01-01","","","275","28.665763","-89.96945"
"G","1","20617","Talos Energy Offshore LLC","FIXED","Y","00593","PROD","S","1968-01-01","2021-10-06","53.8","106","28.563679","-91.257967"
"G-QRTS","2","20617","Talos Energy Offshore LLC","FIXED","N","00593","PROD","S","1970-01-01","2021-10-03","51.8","106","28.563679","-91.258278"
"CA","1","21116","Talos Energy Offshore LLC","FIXED","Y","G01238","TERMIN","N","1962-01-01","2024-12-23","63","65","28.82977","-90.615937"
"K","1","23180","Talos Energy Offshore LLC","FIXED","Y","00593","PROD","S","1985-01-01","2021-08-19","36.6","98","28.591321","-91.251108"
"A","1","23908","Talos Energy Offshore LLC","FIXED","Y","G24924","TERMIN","N","2000-01-30","2022-07-27","22.5","41","28.84167799","-90.94674757"
"A-AUX","2","23908","Talos Energy Offshore LLC","CAIS","N","G24924","TERMIN","N","2005-05-09","2022-07-31","17.2","41","28.84170801","-90.94667251"
"B-COMP","3","23908","Talos Energy Offshore LLC","FIXED","N","G24924","TERMIN","N","2008-03-28","2022-07-31","14.3","41","28.84187183","-90.94627839"
"CF","1","20732","Talos Energy Offshore LLC","FIXED","Y","00775","TERMIN","N","1971-01-01","2025-08-28","54.7","57","29.06492324","-92.17600791"
"C","2","20732","Talos Energy Offshore LLC","FIXED","Y","00775","TERMIN","N","1983-01-01","2022-07-21","39.6","57","29.0648783","-92.17553151"
"Flare","3","20732","Talos Energy Offshore LLC","CAIS","N","00775","TERMIN","N","1964-01-01","2007-04-03","43.3","57","29.06577309","-92.17651087"
"A","4","20732","Talos Energy Offshore LLC","FIXED","N","00775","TERMIN","N","1961-01-01","1984-01-01","23","57","29.06527778","-92.17555556"
"A","1","20898","Talos Energy Offshore LLC","FIXED","Y","00079","TERMIN","N","1956-01-01","2021-01-16","65","32","29.40311","-92.373002"
"A-AUX","2","20898","Talos Energy Offshore LLC","FIXED","N","00079","TERMIN","N","1956-01-01","2021-01-16","65","32","29.403108","-92.373316"
"AB","3","20898","Talos Energy Offshore LLC","CAIS","N","00079","TERMIN","N","2002-06-06","2019-10-05","17.3","32","29.40310119","-92.37314027"
"CA","1","21830","Talos Energy Offshore LLC","FIXED","Y","G02316","TERMIN","N","1973-01-01","","","40","28.990786","-91.874465"
"A-PRD","2","21830","Talos Energy Offshore LLC","FIXED","Y","G02316","TERMIN","N","1978-01-01","","","40","28.990648","-91.87462"
"A","1","22085","Talos Energy Offshore LLC","FIXED","Y","G02130","TERMIN","N","1978-01-01","","","190","28.422152","-91.973082"
"A-PRD","2","22085","Talos Energy Offshore LLC","FIXED","Y","G02130","TERMIN","N","1978-01-01","","","190","28.421841","-91.97308"
"B-VALVE","1","10177","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1981-01-01","2021-09-07","40.7","116","26.91172","-97.073687"
"A","1","36","Transcontinental Gas Pipe Line Company, LLC","FIXED","Y","","","","1998-01-01","","","282","29.34743791","-88.11330955"
"A-ROW","1","633","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1969-04-12","2023-08-02","54.3","90","28.76113082","-91.57204805"
"M822-PIPELINE J","1","25010","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1998-07-31","","","53","30.16216866","-88.19885272"
"A-VALVE","1","25011","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1968-12-10","","","30","28.9703893","-90.88649837"
"TGPL-VALVE","1","25014","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1969-11-06","","","30","28.5161495","-90.8847681"
"JP(3)-VALVE","1","25020","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1962-08-28","1993-09-26","31.1","22","29.31875741","-92.18124648"
"JP-VALVE","1","25021","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1959-07-16","2012-09-28","53.2","30","29.27119827","-92.37020058"
"PP(1)-VALVE","1","25022","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1961-05-04","2010-12-23","49.6","42","29.29121711","-92.39443064"
"A","1","752","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1959-01-01","","","65","28.95984901","-91.64219872"
"A-Valve","1","1401","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","","","","1978-01-01","","","54","29.23781162","-94.42252407"
"Z-TRANSCO","1","2648","Transcontinental Gas Pipe Line Company, LLC","FIXED","N","00134","UNIT","S","1966-02-03","","","12","29.11119121","-91.16154533"
"A","1","20217","EC Offshore Properties, Inc.","FIXED","Y","G13576","PROD","S","1957-01-01","","","51","29.339169","-92.690307"
"C","2","20217","EC Offshore Properties, Inc.","FIXED","Y","G13576","PROD","S","1980-01-01","","","51","29.339701","-92.690189"
"8","1","1525","EC Offshore Properties, Inc.","CAIS","N","G13576","PROD","S","2004-07-27","","","53","29.34679554","-92.71577822"
"4","1","1526","EC Offshore Properties, Inc.","CAIS","N","00184","PROD","S","2004-08-02","","","52","29.35550464","-92.68507202"
"A","1","20466","Cox Operating, L.L.C.","FIXED","Y","G01633","TERMIN","N","1971-01-01","2021-08-03","50.6","180","29.398213","-88.628003"
"C","1","22397","Cox Operating, L.L.C.","FIXED","Y","G01633","TERMIN","N","1978-01-01","2021-08-10","43.6","180","29.400122","-88.609346"
"CB","1","22740","Cox Operating, L.L.C.","FIXED","N","G01633","TERMIN","N","1981-01-01","2021-05-27","40.4","180","29.37949","-88.632352"
"53 (TSA)","1","21293","Cox Operating, L.L.C.","CAIS","N","00310","UNIT","S","1966-01-01","2019-03-24","53.2","14","29.461918","-92.062295"
"141","1","23314","Cox Operating, L.L.C.","CAIS","N","00310","UNIT","S","1988-01-01","1995-12-05","7.9","20","29.347186","-91.978757"
"165","1","27010","Cox Operating, L.L.C.","CAIS","N","00310","UNIT","S","1994-01-01","2019-03-22","25.2","17","29.36743985","-92.02468389"
"CAIS.#195","1","98","Cox Operating, L.L.C.","CAIS","N","00310","UNIT","S","1997-11-16","2003-09-02","5.8","16","29.37136069","-91.99341675"
"25","1","674","Cox Operating, L.L.C.","FIXED","N","G01351","RELINQ","N","2000-02-20","","","25","29.68297973","-93.74735992"
"CAIS.#213","1","959","Cox Operating, L.L.C.","CAIS","N","00310","UNIT","S","2001-05-16","2012-09-23","11.4","20","29.35276126","-91.99843592"
"GB","1","1867","Cox Operating, L.L.C.","CAIS","N","00263","RELINQ","N","2006-05-27","","","51","28.99189028","-90.2421021"
"37","1","2107","Cox Operating, L.L.C.","CAIS","N","00385","RELINQ","N","2007-09-01","","","38","29.14780122","-89.61130261"
"18","1","2129","Cox Operating, L.L.C.","CAIS","N","00384","RELINQ","N","2008-04-20","","","37","29.13637703","-89.55453818"
"B","1","2468","Cox Operating, L.L.C.","FIXED","N","G04473","RELINQ","N","2012-11-01","","","41","29.13413305","-89.5423115"
"19","1","2535","Cox Operating, L.L.C.","CAIS","N","00384","RELINQ","N","2014-04-02","","","35","29.1456123","-89.57257283"
"J","1","2569","Cox Operating, L.L.C.","FIXED","N","00385","RELINQ","N","2014-03-06","","","43","29.13597158","-89.61064369"
"C","1","2570","Cox Operating, L.L.C.","FIXED","N","G32257","TERMIN","N","2014-12-14","","","200","29.357874","-88.26519037"
"State GI 17S","1","2702","Cox Operating, L.L.C.","FIXED","N","","","","2000-01-01","","","45","29.15302778","-89.96741667"
"B","2","23839","W & T Energy VI, LLC","FIXED","Y","","","","1996-05-06","","","277","29.36056031","-87.88477744"
"A","1","23839","W & T Energy VI, LLC","FIXED","Y","","","","1990-01-01","","","277","29.360893","-87.885833"
"A (VIRGO)","1","113","W & T Energy VI, LLC","FIXED","Y","G10942","UNIT","S","1999-09-17","","","1130","29.18192218","-88.16774376"
"A(Matterhorn Se","1","1088","W & T Energy VI, LLC","MTLP","Y","G19931","PROD","S","2003-08-03","","","2850","28.74226919","-88.82563306"
"B","2","21471","Bandon Oil and Gas, LP","WP","Y","","","","1989-01-01","2011-05-10","22.4","105","28.51524597","-90.7285992"
"A","1","21471","Bandon Oil and Gas, LP","FIXED","Y","","","","1971-01-01","2009-08-20","38.6","105","28.515136","-90.72926"
"A","1","23437","Bandon Oil and Gas, LP","FIXED","Y","G07836","TERMIN","N","1990-01-01","2010-04-01","20.2","113","29.734515","-88.493128"
"A","1","23823","Bandon Oil and Gas, LP","WP","N","G05611","TERMIN","N","1990-01-01","2010-03-20","20.2","120","28.474267","-90.720499"
