"instalacao","sigla","classe","campo","operador_grupo","operador_concessao","situacao","lamina_m","ano_inicio","idade_calculada","idade_anp","lat","lon","uf"
"PLATAFORMA DE VERMELHO 1","PVM-1","Plataforma Fixa","VERMELHO","PERENCO","PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.","Operando em Extensão de Vida Útil","80","1989","37","34","-22.16066028","-40.2787175",""
"PLATAFORMA DE VERMELHO 2","PVM-2","Plataforma Fixa","VERMELHO","PERENCO","PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.","Fora de Operação Temporariamente - Hibernação","80","1989","37","34","-22.17536417","-40.29146778",""
"PLATAFORMA DE VERMELHO 3","PVM-3","Plataforma Fixa","VERMELHO","PERENCO","PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.","Operando em Extensão de Vida Útil","82","1989","37","35","-22.189705","-40.30321833",""
"PLATAFORMA DE XAREU 1","PXA01","Plataforma Fixa","XARÉU","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","30","1981","45","43","-3.03072028","-39.0417",""
"PLATAFORMA DE XAREU 2","PXA02","Plataforma Fixa","XARÉU","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","28.5","1983","43","40","-3.0393725","-39.03895333",""
"PLATAFORMA DE XAREU 3","PXA03","Plataforma Fixa","XARÉU","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","28.5","1984","42","40","-3.03510889","-39.02302056",""
"POLVO A","POLVO A","Plataforma Fixa","POLVO","PRIO","PRIO BRAVO LTDA.","Operando","105","2007","19","15","-23.08381389","-40.99542917",""
"Q7000","Q7000","Unidade Semissubmersível","","HELIX","SHELL BRASIL PETRÓLEO LTDA.","Operando","0","2019","7","3","","",""
"QUADRO DE BÓIAS ARACAJU","QB ARACAJU","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","","","18","1967","59","55","-11.04439528","-37.00087611",""
"QUADRO DE BÓIAS GUAMARE - CLAROS","QB GUAMARE CLA","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","","","15","2014","12","8","-30.01180556","-50.09513889",""
"QUADRO DE BÓIAS GUAMARE - ESCUROS","QB GUAMARE ESC","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","","","17","1986","40","36","-4.92465","-36.3735",""
"SIEM HELIX -1","NS-51","Navio Sonda","","HELIX","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","0","2017","9","6","","",""
"SIEM HELIX 2","NS-52","Navio Sonda","","HELIX","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Abandono 7-MRL-159HP-RJS","0","2017","9","6","-22.43880083","-40.03432444",""
"SN-24","RED UNIT","Sonda","","PERENCO","PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.","Operando","80","1995","31","27","","",""
"SONDA MODULADA 09","SM-09","Sonda","","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","170","1982","44","41","-22.43876389","-40.42443056",""
"SONDA MODULADA 12","SM-12","Sonda","","TRIDENT","TRIDENT ENERGY DO BRASIL LTDA.","Operando","115","1984","42","-2","-22.7980075","-40.76254444",""
"SSV VICTORIA","SS-70","Unidade Semissubmersível","","VENTURA","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","0","2020","6","13","","",""
"TIDAL ACTION","NS-63","Navio Sonda","","CONSTELLATION","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Completação 7-RO-201H-RJS","0","2025","1","-3","-21.97981444","-39.76491472",""
"VALARIS DS-17","DS-17","Navio Sonda","","VALARIS","EQUINOR BRASIL ENERGIA LTDA.","Perfuração 7-RAIA-2DA-RJS","0","2014","12","8","-23.38358333","-40.07448056",""
"VALARIS DS-4","NS-54","Navio Sonda","","VALARIS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 7-BUZ-116D-RJS","0","2011","15","12","-24.75514917","-42.34728917",""
"VALARIS DS-8","NS-58","Navio Sonda","","VALARIS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 7-TVD-17D-RJS","0","2015","11","8","-22.94599056","-40.70059722",""
"VALARIS RENAISSANCE","DS-15","Navio Sonda","","VALARIS","SHELL BRASIL PETRÓLEO LTDA.","Operando","0","2014","12","8","","",""
"WEST AURIGA","NS-62","Navio Sonda","","SEADRILL","SEADRILL UK LTD.","Operando","0","2024","2","9","","",""
"WEST CARINA","Ns-48","Navio Sonda","","SEADRILL","","Operando","0","2022","4","7","","",""
"WEST JUPITER","NS-55","Navio Sonda","","SEADRILL","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 7-BUZ-109D-RJS","0","2022","4","8","-24.62917306","-42.47924389",""
"WEST POLARIS","NS-28","Navio Sonda","","SEADRILL","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","0","2024","2","-2","","",""
"WEST SATURN","WSA","Navio Sonda","","SEADRILL","EQUINOR BRASIL ENERGIA LTDA.","Perfuração 8-BAC-9D-SPS","2681.62","2014","12","8","-25.49014778","-43.98735444",""
"WEST TELLUS","NS-47","Navio Sonda","","SEADRILL","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 7-ATP-10DA-RJS","0","2022","4","9","-24.95215778","-42.50024583",""
